query	no	title	link	description	total_text
전주여행	1	 전주  가볼만한곳 추천 받아요	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=901&docId=486096029&qb=7KCE7KO87Jes7ZaJ&enc=utf8	 추억의 7080 다양한체험 7080감성 추억여행 테마박물관 유익한시간 2 전북 전북투어패스 통합이용권 전북핫플 여러여행지 다양한체험 카페이용추가 전주여행 필수 편안하고 즐거운 날이 되시길 바라겠습니다 감사합니다 	 전주  가볼만한곳 추천 받아요  추억의 7080 다양한체험 7080감성 추억여행 테마박물관 유익한시간 2 전북 전북투어패스 통합이용권 전북핫플 여러여행지 다양한체험 카페이용추가 전주여행 필수 편안하고 즐거운 날이 되시길 바라겠습니다 감사합니다 
전주여행	2	 전주여행 갈려고하는데요!	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=472294467&qb=7KCE7KO87Jes7ZaJ&enc=utf8	 전주여행 을 갈려고하는데요 아는사람과 갈려고하는데 호텔은 좋은가격에 정했고 음 2박3일여행인데 얼마정도갖고가면좋을까요 그리고 맛집같은거 카페같은거 추천해주세요 안녕하세요 전주 여행 계획 중이시네요 한옥마을 근처 	 전주여행 갈려고하는데요!  전주여행 을 갈려고하는데요 아는사람과 갈려고하는데 호텔은 좋은가격에 정했고 음 2박3일여행인데 얼마정도갖고가면좋을까요 그리고 맛집같은거 카페같은거 추천해주세요 안녕하세요 전주 여행 계획 중이시네요 한옥마을 근처 
전주여행	3	 전주  1박 2일  여행  관련 질문~	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=483471047&qb=7KCE7KO87Jes7ZaJ&enc=utf8	 전주 여행 을 계획하고 계시다니 정말 좋은 선택을 하셨네요 전주는 한옥마을과 함께 멋진 자연경관 맛있는 음식이 가득한 동네이니 정말 즐거운 시간을 보낼 수 있을 거예요 우선 한옥마을 근처에서 가볼 수 있는 장소로는 	 전주  1박 2일  여행  관련 질문~  전주 여행 을 계획하고 계시다니 정말 좋은 선택을 하셨네요 전주는 한옥마을과 함께 멋진 자연경관 맛있는 음식이 가득한 동네이니 정말 즐거운 시간을 보낼 수 있을 거예요 우선 한옥마을 근처에서 가볼 수 있는 장소로는 
전주여행	4	중2 여학생 친구와  전주여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=480969931&qb=7KCE7KO87Jes7ZaJ&enc=utf8	안녕하세요 중 2 15살 여학생입니다 친한친구와 둘이서 전주 여행 을 가기로 했는데 어디로 가야할지를 몰라서 너무 막막합니다 저희 둘다 일본 애니를 너무 좋아하는데전주에 오타쿠들이 갈만할 곳 있을까요 제발 알려주세요 	중2 여학생 친구와  전주여행  안녕하세요 중 2 15살 여학생입니다 친한친구와 둘이서 전주 여행 을 가기로 했는데 어디로 가야할지를 몰라서 너무 막막합니다 저희 둘다 일본 애니를 너무 좋아하는데전주에 오타쿠들이 갈만할 곳 있을까요 제발 알려주세요 
전주여행	5	부모닝 모시고  전주여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=480179536&qb=7KCE7KO87Jes7ZaJ&enc=utf8	부모님 모시고 전주여행 가려는데 명소 식당 추천부탁드립니다 전주는 한옥마을로 유명한 완산구가 있으며 덕진구 또한 멋진 추억을 가진 장소가 많이 	부모닝 모시고  전주여행  부모님 모시고 전주여행 가려는데 명소 식당 추천부탁드립니다 전주는 한옥마을로 유명한 완산구가 있으며 덕진구 또한 멋진 추억을 가진 장소가 많이 
전주여행	6	2박3일  전주여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=475523884&qb=7KCE7KO87Jes7ZaJ&enc=utf8	이번주 토 월 2박3일 여자친구와 전주여행 을 가는데 여행경로 좀 알려주세요 토요일엔 비가 온다고 하는데 실내데이트 가능한곳도 알려주시면 감사하겠습니다 숙소는 전주한옥마을 근처에 잡았습니다 토 한옥마을 구경 후 	2박3일  전주여행  이번주 토 월 2박3일 여자친구와 전주여행 을 가는데 여행경로 좀 알려주세요 토요일엔 비가 온다고 하는데 실내데이트 가능한곳도 알려주시면 감사하겠습니다 숙소는 전주한옥마을 근처에 잡았습니다 토 한옥마을 구경 후 
전주여행	7	 전주  1박2일  여행 	https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=483476433&qb=7KCE7KO87Jes7ZaJ&enc=utf8	 저녁엔 전주천 산책길 따라 걷거나 한옥마을 근처에서 야경 즐기시는 것도 너무 좋답니다 혹시 일정이나 관심 있는 테마 사진 카페 체험 등 더 알려주시면 맞춤 추천도 해드릴 수 있어요 즐거운 전주 여행 되시길 바랄게요 	 전주  1박2일  여행   저녁엔 전주천 산책길 따라 걷거나 한옥마을 근처에서 야경 즐기시는 것도 너무 좋답니다 혹시 일정이나 관심 있는 테마 사진 카페 체험 등 더 알려주시면 맞춤 추천도 해드릴 수 있어요 즐거운 전주 여행 되시길 바랄게요 
전주여행	8	 전주 여행 코스 추천이요~!	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=442151278&qb=7KCE7KO87Jes7ZaJ&enc=utf8	영화제 기간 일정으로 2박3일 전주여행 좀 가볼까 해서요 여행코스 추천 좀 해주세요 어차피 주목적은 전주국제영화제니까 많은 곳을 둘러보지는 못할거에요 그냥 전주하면 꼭 가볼만한 곳 알짜배기만 추천해주세욜 전주 	 전주 여행 코스 추천이요~! 영화제 기간 일정으로 2박3일 전주여행 좀 가볼까 해서요 여행코스 추천 좀 해주세요 어차피 주목적은 전주국제영화제니까 많은 곳을 둘러보지는 못할거에요 그냥 전주하면 꼭 가볼만한 곳 알짜배기만 추천해주세욜 전주 
전주여행	9	 전주 여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=472340028&qb=7KCE7KO87Jes7ZaJ&enc=utf8	전주로 커플여행 가려고 하는데 추천 좀 해주세요 숙소는 잡았고 놀거리랑 맛집 등등 추천 해주시면 감사하겠습니다 한옥마을은 갈겁니다 답변이 도움되셨으면 좋겠습니다 한옥마을 전주한옥마을 전주 맛집 전주 놀거리 전주 여행 추천	 전주 여행  전주로 커플여행 가려고 하는데 추천 좀 해주세요 숙소는 잡았고 놀거리랑 맛집 등등 추천 해주시면 감사하겠습니다 한옥마을은 갈겁니다 답변이 도움되셨으면 좋겠습니다 한옥마을 전주한옥마을 전주 맛집 전주 놀거리 전주 여행 추천
전주여행	10	추석  전주여행 	https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=474841714&qb=7KCE7KO87Jes7ZaJ&enc=utf8	16 18일 전주 로 여행 가려고 하는데 그때 한옥마을같은 관광지들은 문 닫을까요 추석당일은 문을 닫습니다 전주 에도 이벤트가 진행중입니다 8 27 화 10 13 일 한국관광공사에서 숙박세일 페스타 이벤트가 진행중입니다 3만원 	추석  전주여행  16 18일 전주 로 여행 가려고 하는데 그때 한옥마을같은 관광지들은 문 닫을까요 추석당일은 문을 닫습니다 전주 에도 이벤트가 진행중입니다 8 27 화 10 13 일 한국관광공사에서 숙박세일 페스타 이벤트가 진행중입니다 3만원 
