query	token	pos
경주여행	추석	NNG
경주여행	추석	NNG
경주여행	생각	NNG
경주여행	서울	NNP
경주여행	버스	NNG
경주여행	경우	NNG
경주여행	버스	NNG
경주여행	버스	NNG
경주여행	전용	NNG
경주여행	차선	NNG
경주여행	운행	NNG
경주여행	질문	NNG
경주여행	추석	NNG
경주여행	관련	NNG
경주여행	답변	NNG
경주여행	첨성대	NNG
경주여행	석굴암	NNG
경주여행	불국사	NNG
경주여행	유적지	NNG
경주여행	연중무휴	NNG
경주여행	일정	NNG
경주여행	일정	NNG
경주여행	문자	NNG
경주여행	계획	NNG
경주여행	소록	NNG
경주여행	스테이	NNG
경주여행	에서	NNG
경주여행	아래	NNG
경주여행	일정	NNG
경주여행	정리	NNG
경주여행	일정	NNG
경주여행	감성	NNG
경주여행	어머니	NNG
경주여행	어버이날	NNP
경주여행	어머니	NNG
경주여행	펜션	NNG
경주여행	안녕	NNG
경주여행	어버이날	NNP
경주여행	어머니	NNG
경주여행	계획	NNG
경주여행	특별	NNG
경주여행	시간	NNG
경주여행	마음	NNG
경주여행	동궁	NNG
경주여행	월지	NNG
경주여행	정교	NNG
경주여행	야경	NNG
경주여행	정상	NNG
경주여행	운영	NNG
경주여행	휴무일	NNG
경주여행	관람	NNG
경주여행	방해	NNG
경주여행	정도	NNG
경주여행	날씨	NNG
경주여행	상황	NNG
경주여행	통제	NNG
경주여행	경우	NNG
경주여행	관람	NNG
경주여행	가능	NNG
경주여행	남자	NNG
경주여행	친구	NNG
경주여행	숙소	NNG
경주여행	개인	NNG
경주여행	부족	NNG
경주여행	계획	NNG
경주여행	예산	NNG
경주여행	집행	NNG
경주여행	부족	NNG
경주여행	맛집	NNG
경주여행	맛집	NNG
경주여행	추천	NNG
경주여행	부탁	NNG
경주여행	가이드	NNG
경주여행	교통편	NNG
경주여행	맛집	NNG
경주여행	볼거리	NNG
경주여행	한국	NNP
경주여행	역사	NNG
경주여행	문화	NNG
경주여행	도시	NNG
경주여행	명소	NNG
경주여행	추천	NNG
경주여행	추천	NNG
