"통계분류(1)",통계분류(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
"통계분류(1)",통계분류(2),전체,강원,충북,충남,전북,전남,경북,경남,제주,서울,부산,대구,인천,광주,대전,울산,경기,전체,강원,충북,충남,전북,전남,경북,경남,제주,서울,부산,대구,인천,광주,대전,울산,경기,전체,강원,충북,충남,전북,전남,경북,경남,제주,서울,부산,대구,인천,광주,대전,울산,경기,전체,강원,충북,충남,전북,전남,경북,경남,제주,세종,서울,부산,대구,인천,광주,대전,울산,경기
"여행업",일반여행업,951,12,4,0,16,6,9,12,60,703,34,12,10,14,10,5,44,1251,20,13,0,21,15,12,27,93,846,40,20,14,30,17,7,76,1624,24,11,0,38,20,13,29,115,1106,54,23,19,30,26,11,105,2136,29,17,2,49,56,26,40,171,2,1363,73,36,46,40,32,11,143
"여행업",국외여행업,2807,18,17,13,62,13,25,40,12,1984,196,61,53,20,34,17,242,2974,20,13,16,65,17,24,49,9,2092,190,58,73,25,33,15,275,3495,19,33,27,60,18,26,53,20,2413,235,73,70,30,38,13,367,3891,28,23,35,83,24,28,48,11,2,2633,277,77,98,41,45,14,424
"여행업",국내여행업,1362,34,39,46,53,94,65,56,407,267,37,30,46,21,18,9,140,1439,38,33,48,60,84,71,63,431,297,53,32,41,20,26,9,133,1714,39,32,47,54,137,86,66,512,338,60,44,45,18,37,10,189,1915,42,41,56,64,102,89,69,577,2,386,71,54,71,26,47,12,206
"여행업",국내외여행업,3449,125,121,164,208,174,175,221,84,708,279,235,136,175,142,72,430,3620,111,128,165,221,172,193,222,89,763,286,239,140,164,159,64,504,3892,135,120,180,223,161,203,251,82,854,340,259,129,187,177,78,513,4496,144,151,192,253,191,230,306,106,10,1004,372,288,167,200,197,90,595
"관광숙박업",관광호텔업,631,38,22,17,16,25,49,37,50,130,52,25,41,19,21,8,81,660,41,21,18,17,32,51,40,51,135,54,22,42,21,22,8,85,656,47,21,18,17,29,49,39,51,140,45,21,41,21,23,7,87,777,43,23,19,25,40,54,45,58,0,164,61,26,51,20,30,11,107
"관광숙박업",기타호텔업,54,7,1,2,4,7,0,9,16,6,0,0,0,0,0,0,2,62,9,1,4,4,9,1,6,17,7,1,0,1,0,0,1,1,71,10,1,4,1,10,1,8,23,7,0,0,5,0,1,1,0,107,10,1,5,4,10,2,10,44,0,10,3,0,4,0,2,0,2
"관광숙박업",휴양콘도미니엄업,159,53,7,9,7,5,15,8,35,0,4,0,0,0,0,0,16,174,55,8,15,7,6,15,8,39,0,4,0,2,0,0,0,15,193,66,8,14,7,9,19,8,40,0,4,0,2,0,0,0,16,189,60,8,14,7,8,18,8,43,0,0,4,0,2,0,0,0,17
"관광객이용시설업",전문및종합휴양업,60,8,2,4,3,1,5,0,24,0,1,1,3,0,0,0,8,67,10,1,6,3,1,4,1,26,2,2,1,1,0,0,0,9,71,10,2,6,0,4,5,3,25,1,1,1,1,0,0,0,12,77,12,5,6,2,2,4,2,28,0,2,2,1,1,0,0,0,10
"관광객이용시설업",자동차야영장업,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,11,4,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,20,4,0,0,1,5,3,2,1,0,0,0,0,2,0,0,0,2
"관광객이용시설업",관광유람선업,28,1,0,0,5,2,0,4,5,0,4,0,7,0,0,0,0,41,2,0,2,5,5,0,6,6,1,5,0,9,0,0,0,0,44,2,0,3,6,5,0,7,6,0,5,0,10,0,0,0,0,42,3,0,3,6,5,0,6,7,0,1,5,0,6,0,0,0,0
"관광객이용시설업",관광공연장업,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,10,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,10,0,0,0,1,0,0,1,2,0,4,1,1,0,0,0,0,0
"관광객이용시설업",외국인전용관광기념품판매업,139,0,0,0,0,0,7,1,19,69,17,0,10,0,0,0,16,174,0,0,0,0,0,9,1,22,91,19,2,12,0,0,0,18,166,0,0,0,0,0,6,1,30,78,17,2,5,0,0,0,27,204,0,0,0,0,0,5,1,41,0,96,23,1,13,0,0,0,24
"국제회의업",전체,308,1,4,0,0,0,0,3,11,241,18,10,8,2,5,0,5,363,1,2,0,1,0,1,6,12,269,22,14,8,4,11,2,10,398,1,3,0,1,0,1,11,24,278,20,13,11,6,15,0,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"국제회의업",국제회의시설업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,0,0,0,0,0,0,2,1,0,2,1,1,1,1,1,1,0
"국제회의업",국제회의기획업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,474,3,3,1,2,0,2,8,27,0,338,27,14,7,4,18,3,17
"카지노업",소계,17,2,0,0,0,0,1,0,8,3,2,0,1,0,0,0,0,17,2,0,0,0,0,0,0,8,3,2,1,1,0,0,0,0,16,1,0,0,0,0,0,0,8,3,2,1,1,0,0,0,0,17,2,0,0,0,0,0,0,8,0,3,2,1,1,0,0,0,0
"유원시설업",종합유원시설업,38,6,1,4,1,2,4,5,0,1,2,0,3,1,1,0,7,45,6,2,5,1,3,3,5,0,2,2,2,0,1,2,0,11,42,7,0,5,1,4,3,5,0,1,1,2,2,1,2,0,8,38,7,1,5,0,3,4,2,0,0,2,1,2,0,1,1,0,9
"유원시설업",일반유원시설업,147,19,7,11,11,15,6,9,10,5,12,6,7,2,0,4,23,161,24,7,11,10,14,9,10,13,4,12,7,7,3,0,4,26,178,22,9,13,12,17,10,11,10,4,13,9,6,3,0,6,33,236,27,9,18,15,22,15,16,14,0,10,13,12,11,3,1,6,44
"유원시설업",기타유원시설업,92,7,10,3,4,7,7,1,2,0,10,0,0,0,3,2,36,97,7,9,3,4,8,5,7,3,5,3,3,6,0,4,3,27,148,7,7,9,0,13,5,42,0,0,0,5,11,0,9,1,39,115,8,8,0,4,8,5,10,5,0,12,16,4,2,0,3,2,28
